word,recording,time (s),context
It's,interview-028,2610,t's just a still frame. But it's a It's a longer kind of a movie and 
It's,roundtable-005,1113,"lways the line that I say, because It's absolutely true. I don't. I d"
It's,roundtable-005,2818,"heater and musician composers, and It's just fun to learn what they d"
It's,salon-009,2938, that much iDubbbz the same as the It's all about the size.
It's,salon-012,5747,"lgebra or geometry or anything but It's this is very, very important "
It's,salon-012,5747,"is is very, very important because It's this is very, very important "
It's,salon-016,3461,anted so um it's always here to be It's another blurring of boundarie
It's,salon-023,290,d encourage you to do that because It's not you. It's not your expres
It's,salon-044,4331,re working with a group called the It's hard for like someone like my
It's,salon-050,2029,an see I'm going to put you in the It's a very good company I found i
It's,salon-056,3055,roject we're putting in there is a It's going to go up in the beginni
It's,salon-077,9373,"ait, or maybe just roll out as the It's the unfolds"
It's,salon-078,3062,". It's 36 inches by 42 inches, and It's a street scene in Paris. Agai"
It's,salon-079,3101,"t's all that I'm gonna do, because It's just a little quick. Quickie."
It's,salon-081,3710,aken into direction. And it's been It's really one. It's really one o
It's,salon-083,5252,scoe center for the arts. Which is It's not located.
It's,salon-085,3776,"No, it's still going into It's still going into presenter mo"
It's,salon-085,5451,"s. And yeah, you know, it's been a It's it's been a huge undertaking "
It's,salon-088,2108,"ndian clothing or your concept, or It's just it's kind of unusual and"
It's,salon-099,2291,"ifferent communities, and that was It's just really, really amazing. "
It's,salon-100,1889,t of… it's dashes and patterns and It's flowing across as if the wall
It's,salon-100,4144,"ee what else people are doing, and It's… there's a nice icon thumbnai"
It's,salon-101,222," making characters come alive, and It's kind of wacky, the whole thin"
It's,salon-105,1887,"e. So, those are different kind of It's views, like that. Yeah. Also,"
It's,salon-107,4456,"l of the… just media, it's such a, It's just such a… it's so open. It"
In,interview-027,4022,"ions of the outside world, because In the end, you know, there's pl"
In,interview-027,4563,"he world that you can't get to, or In a shipping container, you kno"
In,interview-028,1131,"l of that is kind of wrapped up in In those terms, both, you know, "
In,interview-029,234,"art here, at the entrance, because In these first images here, it's"
In,interview-029,675,"d reality, so I was interested in, In pattern, wallpaper, my genera"
In,roundtable-005,3127,"m starting a book project that was In in a sense, Colin nudged me t"
In,salon-077,9424,"ly along, so that their spaces are In in a shape that people are ha"
In,salon-078,3492,"time II don't want to do that, but In this case the what you don't "
In,salon-080,3042,"lied, and my first show was at the In the middle of the the city go"
In,salon-082,1997,"nt connotations. And For me, in my In my world I feel like nice mea"
In,salon-082,1997,ains sort of a footprint which has In formerly protected areas that
In,salon-082,4985,couple of Of local artists who are In a group that is called Digian
In,salon-083,1140,"onded to things that were going on In my life, but I've always felt"
In,salon-085,2142,"s. I had a younger brother who was In a nursing home, and I had to "
In,salon-088,1789,". My thought was that this girl is In a bloody world, in a blurry f"
In,salon-089,497,as made a big impression on me and In my mermaid's piece. Here I cr
In,salon-094,1174, it was shown at various places in In the world. And the most recen
In,salon-097,5177,rk. So. But I get that. It's it is In abstraction. It there is a li
In,salon-097,5262,ll these parameters that I use are In most cases I have some idea w
In,salon-102,1455,o a kind of cultural extinction in In which the memory of a being d
In,salon-107,1506,"ind ways to apply it, and kind of, In a cryptic way, show what was "
In,salon-108,3122,"the map, and it it's actually been In existence in various incarnat"
To,interview-027,1265," you, you know, just like having a To receive all of these differen"
To,interview-028,1131,ism. I think when I 1st started to To really kind of think about th
To,roundtable-006,2750,"that is photographic in nature to, To mainstream galleries, not seg"
To,salon-036,1534,across. And So we would output the To nine track. They would take t
To,salon-078,5477,use that's always good material to To publish both on the Youtube C
To,salon-079,153,"scanner, basically. And tape it to To train windows. I thought I'd "
To,salon-079,4397,d of your source of inspiration to To either tackle the the notion 
To,salon-081,3517,here anyone else who would like to To share what they're working on
To,salon-084,4256,I might be willing to To work on that. We'll see. Not.
To,salon-087,3,"ch would be basically everybody to To mute your microphones, and th"
To,salon-088,1058,"the culture of earth, you know, to To people off the earth, or what"
To,salon-088,4834,"of months out, so we don't need to To decide on it."
To,salon-090,4881,we're not going to get a chance to To to have some exchange or ques
