type,recording,context
same word twice in a row,salon-008,such were good in Instagram I realized that I had much much to learn because I saw things that I knew never k
same word twice in a row,salon-008, never knew that people could do and I was really eager eager to learn a lot because yeah I honestly discovered
sentence starts with a lowercase letter,salon-008,Me find my Instagram. Okay. Okay. Okay. Okay. ity. Just let the other members know where you're c
same word twice in a row,salon-008,mething that's been. We've been doing for several years years now we've just never had it had a way to say what
same word twice in a row,salon-008,"ement. I was not mixing.  I mean, like converting after after changing the digital effect. I'm not converting. "
same word twice in a row,salon-008,this is just me you know and something that has a deeper deeper something going on with it that has to be done th
same word twice in a row,salon-008," for promotional costs for promotion of the show. Once once there's something finalized for the dates, you kn"
same word twice in a row,salon-008,"y as far as like people have asked me, well, does Kunstmatrix Kunstmatrix accept placement of looping videos? I don't actua"
same word twice in a row,salon-009,th you know with machines and this is not an 2015 called called sensible concepts and this was a piece that I cal
same word twice in a row,salon-009,"sically, this is an ongoing project that I've had called called personal taxonomies, which is currently about 600"
a / an mismatch,salon-009,n doing and really trying to look at it almost in a illustrative design quality. But also the thing is
same word twice in a row,salon-009, matter with respect you know it's more of like a playful playful exploration not like you know not trying to be in
same word twice in a row,salon-009,nity I'm just designing a multi-level gallery and every every student gets a room that is this big to set up ho
same word twice in a row,salon-009,kes sense as far as five artists roughly five ish minutes minutes per artist and then intros and then sort of a you
same word twice in a row,salon-010, This one's called Thinking Too Much.  This piece actually actually was part of a collaboration that I've been doing 
same word twice in a row,salon-010,"re all of these other ones kind of came from. And aspire aspire beauty was kind of that, that like that point whe"
same word twice in a row,salon-010," on the platform. I wasn't aware of that, but I'm getting getting a little bit into that. So some there will be som"
same word twice in a row,salon-010,"xchange, they're giving us sort of like a premium plus plus plus package would like, you know, so that'll all"
same word twice in a row,salon-010," collab in the title or want to participate, what something something to let me know that you want to participate in th"
same word twice in a row,salon-010,tually show you what that looks like too you guys seen seen a screen yes yeah okay so let me just yeah okay l
a / an mismatch,salon-011,"iter. I'm a writer and a writer. I'm a writer and a artist and professor based in Alabama, working at "
same word twice in a row,salon-011,ose corsets and meaning what is behind. So I just quickly quickly tell it again. So there's something important in 
same word twice in a row,salon-011,"physical space that is like, you know, I actually put put a feeler out to a coder whose work that I found o"
same word twice in a row,salon-011,g and it's going to be smoother and more seamless each each go around because training wheels kind of yeah Da
same word twice in a row,salon-011,ning wheels kind of yeah Davo do you envision the each each installment being up for a month basically so if 
a / an mismatch,salon-011,"s see here. Matej is that... Well, it's here. I'm a intermediate artist in the kind of the Higgins tra"
a / an mismatch,salon-012,"ay. After the presentations, we will have kind of a introduce yourself, general discussion kind of tim"
same word twice in a row,salon-012," bringing what I see as a digital visual language into into painting. Hey Carter, I don't mean to interrupt, "
same word twice in a row,salon-012,t or maybe unplug your mic if it's external or oh zoom zoom's a zoom's a fun creature sometimes and technolog
same word twice in a row,salon-012,"ean, I know this sounds very romantic and kind of woo woo. But what the hell, man, that's where I went. I r"
