word,times,recordings,suggestion,type,example (recording),example context
th,418,109,,"check: unusual word, term or non-English",salon-009,"that out after the fact.  Today is January 19th, 2021. My name is Davonte Bradley, otherwise"
ipad,170,64,iPad | pad,likely misspelling / mishearing,salon-009,ture of me and a couple other people with an ipad and we're interacting with what is like a ve
iphone,140,55,iPhone | phone | iPhones,likely misspelling / mishearing,salon-008," screen. Okay. So, I photograph them with my iPhone, because I like the lack of detail. And, and"
coworking,46,15,cowering,likely misspelling / mishearing,salon-072,bout the idea of having some kind of virtual coworking time. Just maybe if this time works actually
nd,37,23,Ned | nod,likely misspelling / mishearing,salon-009,ne. And here's an example. Today's January 22nd. I'm going to be interviewing Colin this Fri
icolorama,31,10,,"check: unusual word, term or non-English",salon-014,"e interested in an app that's super deep, is iColorama. I've taken at least two or three classes in"
leonard,20,11,Leonard | Leonardo | leopard,likely misspelling / mishearing,salon-017,"h. Just a footnote. Roy Rogers real name was Leonard Sly. See, he wasn't real.. And I know he had"
bernada,18,7,Brenda,"check: unusual word, term or non-English",salon-055,e'll see. All right. Moving right along with Bernada.
pokemon,14,6,Pokémon | Pokemon | packman,likely misspelling / mishearing,salon-012,e NFC they're like the digital equivalent of Pokemon cards and I was talking to someone recently 
monoprint,14,6,mono print | mono-print,likely misspelling / mishearing,salon-009, these are all prints this one particular is monoprint monotype and screen print just kind of explo
memetics,14,9,memetic | mimetic | emetics,likely misspelling / mishearing,salon-013,"we call internet means.  You know, there was memetics, which was, you know, started by this guy, R"
ipads,14,11,iPads | iPad's | pads,likely misspelling / mishearing,salon-013,t of video and present things on iPhones and iPads. I use the LED matrixes to present some work
io,14,12,ion,likely misspelling / mishearing,salon-011,ith Playboy. I've been working with Playform.io along with people like and Spalter. And I ju
abex,14,10,apex | Abel | abet,"check: unusual word, term or non-English",salon-008,and all of those sort of groups preceded the abex painters but it's all sort of the same tradi
solomon,13,2,Solomon | Salomon,likely misspelling / mishearing,salon-110,ocation in western Iran called the throne of Solomon. Takhte Soleiman. This project allowed me to
lable,12,1,label | table | able,likely misspelling / mishearing,salon-086,t there.  And I'm just going to say the name lable. And I'm just going to say the name lable. A
ios,12,9,its | is | iOS,"check: unusual word, term or non-English",salon-008," for ArtPot, A-R-T-P-O-T, I know it's in the iOS app store and I believe on Google Play, is i"
gallerist,12,10,galleries | gallerias | gallerists,likely misspelling / mishearing,salon-011,at that and see what it's like. I have had a gallerist up here who seems somewhat interested. I'm h
cubicomp,12,3,,"check: unusual word, term or non-English",salon-020,just a crop. There's me in 85 working on the Cubicomp system on a PC clone. Here's some other crop
